release_id,release_name,art_deadline,event_name
R_001,v1.1.0,2026-10-31,Event_001
R_002,v1.2.0,2026-11-30,Event_002
R_003,v1.3.0,2026-12-30,Event_003
R_004,v1.4.0,2027-01-29,Event_004
R_005,v1.5.0,2027-02-28,Event_005
R_006,v1.6.0,2027-03-30,Event_006
R_007,v1.7.0,2027-04-29,Event_007
R_008,v1.8.0,2027-05-29,Event_008
R_009,v1.9.0,2027-06-28,Event_009
R_010,v1.10.0,2027-07-28,Event_010
R_011,v1.11.0,2027-08-27,Event_011
R_012,v1.12.0,2027-09-26,Event_012
R_013,v2.1.0,2027-10-26,Event_013
R_014,v2.2.0,2027-11-25,Event_014
R_015,v2.3.0,2027-12-25,Event_015
R_016,v2.4.0,2028-01-24,Event_016
R_017,v2.5.0,2028-02-23,Event_017
R_018,v2.6.0,2028-03-24,Event_018
R_019,v2.7.0,2028-04-23,Event_019
R_020,v2.8.0,2028-05-23,Event_020
R_021,v2.9.0,2028-06-22,Event_021
R_022,v2.10.0,2028-07-22,Event_022
R_023,v2.11.0,2028-08-21,Event_023
R_024,v2.12.0,2028-09-20,Event_024
